恐嚇,"其他（負）, 難過"
告別,"難過, 害怕"
嘆了口氣,"難過, 害怕"
批評,"其他（負）, 生氣, 難過"
求情,"害怕, 生氣"
故意,"難過, 其他（負）, 生氣"
罪,"害怕, 其他（負）"
滿足,"高興, 其他（正）"
得罪,"難過, 其他（負）, 生氣"
解決,"其他（負）, 其他（正）, 高興"
還得,"害怕, 其他（負）"
報應,"其他（負）, 生氣"
威脅,"其他（負）, 生氣"
爛,"其他（負）, 生氣"
慰勉,"高興, 其他（正）"
怕你,"害怕, 難過"
疑惑,"生氣, 其他（負）"
脆弱,"害怕, 其他（負）"
趕忙,"生氣, 害怕"
大怒,"生氣, 難過"
黑暗,"其他（負）, 害怕"
鬼影,"生氣, 害怕"
炸了,"其他（負）, 害怕"
爆粗口,"生氣, 難過"
腦震盪,"害怕, 其他（負）"
謀殺,"難過, 害怕, 其他（負）"
順利,"高興, 其他（正）"
破產,"難過, 其他（負）, 生氣"
擔心,"生氣, 害怕"
orz,"其他（負）, 難過"
限水,"生氣, 其他（負）"
打零工,"害怕, 其他（負）"
悲慘,"害怕, 難過"
蠢,"生氣, 其他（負）"
損失,"其他（負）, 害怕, 生氣"
三小,"生氣, 難過"
後遺症,"生氣, 害怕, 其他（負）"
誤導,"其他（負）, 難過"
千萬不要,"生氣, 害怕"
好棒,"其他（正）, 高興"
無所謂,"其他（負）, 生氣"
逃亡,"害怕, 其他（負）"
墜落,"生氣, 害怕"
懷念,"難過, 害怕"
囂張,"難過, 其他（負）, 生氣"
延宕,"難過, 其他（負）"
不得了,"其他（正）, 其他（負）"
><,"其他（負）, 難過"
死去,"其他（負）, 難過"
怒,"生氣, 難過"
可愛,"其他（正）, 高興"
求饒,"難過, 害怕"
報案,"生氣, 其他（負）"
不滿,"生氣, 難過"
驚醒,"其他（負）, 驚訝"
疑慮,"生氣, 難過"
烏龍,"生氣, 其他（負）"
悲傷,"難過, 害怕"
殺掉,"其他（負）, 難過"
施壓,"難過, 其他（負）"
尖叫,"害怕, 其他（負）"
遭到,"其他（負）, 害怕, 難過"
提告,"生氣, 難過"
束手無策,"其他（負）, 難過"
奇怪,"其他（負）, 驚訝, 害怕"
淨賺,"高興, 其他（正）"
議論紛紛,"生氣, 其他（負）"
被爆,"驚訝, 其他（負）"
感染,"害怕, 生氣, 其他（負）"
XD,"高興, 其他（正）"
祈禱,"害怕, 生氣"
沒有用,"生氣, 難過"
到此為止,"其他（負）, 生氣"
朝思暮想,"難過, 其他（正）"
檢討,"害怕, 其他（正）, 難過, 其他（負）"
發生意外,"生氣, 害怕, 其他（負）"
檢舉,"生氣, 其他（負）"
好奇,"其他（負）, 其他（正）, 驚訝"
拜託,"害怕, 生氣"
不合理,"生氣, 難過"
澄清,"其他（正）, 其他（負）"
時間不夠用,"其他（負）, 害怕"
斬首,"生氣, 害怕"
昏迷,"其他（負）, 害怕"
親自,"高興, 其他（正）"
刪除,"難過, 其他（負）"
不幸,"害怕, 其他（負）"
可憐,"難過, 害怕"
直呼,"其他（正）, 高興"
喘不過氣,"害怕, 生氣"
離開,"其他（負）, 害怕"
最喜歡,"高興, 其他（正）"
不費一槍一彈,"其他（正）, 高興"
好險,"高興, 其他（正）"
共犯,"難過, 其他（負）"
脫穎而出,"高興, 其他（正）"
陷入,"其他（負）, 生氣"
怪怪,"害怕, 生氣"
殺死,"難過, 生氣"
沒有接,"生氣, 其他（負）"
思念,"害怕, 其他（正）, 難過"
嘗試,"高興, 其他（正）"
鬼神,"害怕, 其他（負）"
竟然,"其他（負）, 驚訝, 其他（正）, 難過"
失去,"其他（負）, 害怕"
遭,"害怕, 難過, 其他（負）"
打擊,"害怕, 難過"
避免,"高興, 其他（負）, 生氣"
拖延,"難過, 生氣"
