紅色布條,難過
什麼是開心,難過
開玩笑,其他（正）
獻給,其他（正）
毫不手軟,其他（正）
胃痛,生氣
指責,難過
搞鬼,生氣
罵翻,生氣
像砂糖一樣甜,其他（正）
從來不曾,驚訝
幹0糧,生氣
超貴,生氣
說好,生氣
繼承,其他（正）
說再見,難過
麻煩,其他（負）
努力這麼久,其他（負）
經濟好轉,高興
敗給,害怕
動感,其他（正）
想怎樣,生氣
牛頭不對馬嘴,其他（負）
通姦,其他（負）
愉快,高興
作夢,其他（正）
同步,其他（正）
回到家,高興
監控,其他（負）
過大,其他（負）
最美好,高興
拉著你的手,其他（正）
過失,其他（負）
喜宴,其他（正）
潑糞,難過
笨笨的,其他（負）
輕易駭進,生氣
請民眾安心,其他（正）
沉重,害怕
不懂反省,其他（負）
重新認識你,其他（負）
痛批,難過
侵入,難過
無語,其他（負）
夜店,其他（負）
啥洨,生氣
木納,其他（負）
過失致死,生氣
嚥下這口氣,難過
碰壁,難過
多爛,生氣
火冒三丈,難過
無聲無息,害怕
被翻過,害怕
榮譽,高興
不聞不問,難過
怪怪的,其他（負）
懲處,難過
壓垮駱駝,害怕
拖著疲憊的,害怕
到底想怎樣,生氣
眼眶泛淚,難過
不知睡了多久,其他（負）
滴下了淚,難過
裝備不好,難過
高薪,高興
ISIS,生氣
寧願,其他（負）
呼救,生氣
太意外啦,其他（正）
動怒,難過
愛你,高興
沒有人會來,難過
大吼,生氣
從頭到尾,其他（負）
受邀,其他（正）
聞風而來,其他（正）
裝備不夠,難過
冷戰,其他（負）
找到了,其他（正）
不眠不休,其他（正）
開心的一天,其他（正）
事情發生在,害怕
錢用完,其他（負）
發笑,其他（正）
語重心常,難過
警告處分,難過
想你,害怕
特殊能力,驚訝
沒有工作,害怕
語氣是好的,其他（正）
涉及,其他（負）
胡思亂想,其他（負）
逃生不及,生氣
逼我,生氣
典禮,高興
砍頭,生氣
正妹,其他（正）
隨時可以,其他（正）
不幸中的大幸,其他（正）
翻箱倒櫃,害怕
隨地大小便,難過
看盡千帆,難過
失去生命跡象,難過
哀號,害怕
盡在不言中,難過
在黑暗中,其他（負）
不是奢望,難過
緊盯,其他（負）
高調,其他（負）
委屈,難過
心臟病,害怕
無預期,驚訝
拳腳相向,生氣
不專心,其他（負）
卻都,其他（負）
納悶,害怕
平反,高興
太開心,高興
:D,高興
不發一語,其他（負）
有害,其他（負）
一扯,害怕
沒救了,難過
拚命,其他（正）
分離,難過
好好過生活,其他（正）
蒙上一層,其他（負）
什麼事情也沒做,其他（負）
色情網站,其他（負）
腦袋裡一直想,其他（負）
勤奮,其他（正）
冷淡,難過
在叫,害怕
叫不出來,害怕
自我感覺良好,其他（負）
增購,高興
冰冷,其他（負）
醒悟,其他（正）
得等,其他（負）
追究責任,生氣
微弱,其他（負）
腦門上,其他（負）
撕裂,其他（負）
宿疾,害怕
鉅額債務,其他（負）
令人佩服,其他（正）
民主,其他（正）
運氣很好,高興
相依為命,害怕
年邁臥病,害怕
教我,害怕
已經造成,其他（負）
拔管,害怕
為時已晚,難過
沒人幫忙,難過
作嘔,生氣
控訴,生氣
浪費,生氣
鐮刀,害怕
滿意度高達,其他（正）
串門子,高興
打手槍,其他（負）
絕交,生氣
惹禍,其他（負）
也想抱抱你,難過
拼裝,其他（負）
耍白癡,其他（負）
搞成這樣,難過
最後你卻,其他（負）
被偷,難過
安置,高興
失業,害怕
領獎金,高興
美景盡收眼底,其他（正）
一把眼淚,害怕
皮毛,其他（負）
封鎖,生氣
關懷與安置,其他（正）
發生,驚訝
奇特,其他（正）
外傳,驚訝
裝潢典雅,其他（正）
傲人的雙峰,其他（正）
鋌而走險,其他（負）
道行,其他（正）
重重障礙,其他（負）
捉姦,生氣
炸彈客,生氣
多少次想,其他（負）
